bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,3,0,88,0,L1_UniqueCarrier=AA|L2_Origin=IAH,False,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,88
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning|L4_Distance=<=300,4,47,0,47,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning|L4_Distance=others,4,8,0,8,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=others,3,9,0,9,L1_UniqueCarrier=AA|L2_Origin=IAH,True,L1_UniqueCarrier=AA|L2_Origin=IAH,0
L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,4,21,21,0,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0
L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,37,37,0,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon|L4_Distance=others,4,14,0,14,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=LAS,0
L1_UniqueCarrier=AA|L2_Origin=LAS,2,0,28,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=LAS,28
L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=evening,3,14,0,14,L1_UniqueCarrier=AA|L2_Origin=LAS,True,L1_UniqueCarrier=AA|L2_Origin=LAS,0
L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=morning|L4_Distance=1500-5000,4,31,0,31,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=LAS|L3_CRSDepTime=morning,0
